id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
24746875,40976829,t,Clayton,39.76634,-104.95386,Entire home,Entire home/apt,4,1.0,2.0,131.0,255,33405.0,4.93,100.0,<=300
24806806,31858502,t,Washington Park West,39.70361,-104.97669,Entire home,Entire home/apt,6,2.0,4.0,299.0,168,50232.0,4.92,65.88235294117646,<=300
25477926,192292964,t,Speer,39.72605,-104.98151,Entire guest suite,Entire home/apt,4,1.0,2.0,130.0,238,30940.0,4.92,93.33333333333333,<=300
25686732,38047305,t,Berkeley,39.78166,-105.0274,Entire townhouse,Entire home/apt,4,2.5,2.0,251.0,182,45682.0,4.86,71.37254901960785,<=300
25730584,42681856,t,Highland,39.76569,-105.01135,Entire townhouse,Entire home/apt,5,1.0,3.0,195.0,245,47775.0,4.84,96.07843137254902,<=300
25770124,155712512,t,Cheesman Park,39.73395,-104.9692,Entire guest suite,Entire home/apt,4,1.0,1.0,118.0,255,30090.0,4.89,100.0,<=300
26129760,94846610,t,Highland,39.76194,-105.00723,Entire townhouse,Entire home/apt,6,2.5,2.0,203.0,168,34104.0,4.8,65.88235294117646,<=300
26201544,196667037,t,Gateway - Green Valley Ranch,39.79334200616132,-104.7992644504109,Entire guest suite,Entire home/apt,8,1.0,2.0,137.0,231,31647.0,4.93,90.58823529411765,<=300
26351023,576644,t,Rosedale,39.66985702514648,-104.98519897460938,Entire guesthouse,Entire home/apt,4,1.0,1.0,141.0,255,35955.0,4.9,100.0,<=300
26415492,9447036,t,CBD,39.74571,-104.99203,Entire loft,Entire home/apt,4,1.5,1.0,159.0,255,40545.0,4.83,100.0,<=300
27128420,204217209,t,Hampden,39.66106,-104.91274,Entire home,Entire home/apt,10,3.0,5.0,243.0,196,47628.0,4.87,76.86274509803923,<=300
27394040,35518808,t,Clayton,39.76307,-104.94801,Entire guesthouse,Entire home/apt,6,1.0,2.0,163.0,231,37653.0,4.95,90.58823529411765,<=300
27722990,209297769,t,South Park Hill,39.74407599107277,-104.93926465511322,Entire guesthouse,Entire home/apt,5,1.0,2.0,176.0,255,44880.0,4.89,100.0,<=300
27754700,146196004,t,Speer,39.721788162739486,-104.97394831447984,Entire townhouse,Entire home/apt,6,2.0,2.0,164.0,255,41820.0,4.88,100.0,<=300
27985624,107582791,t,Sunnyside,39.77834,-105.02467,Entire home,Entire home/apt,8,3.0,3.0,208.0,255,53040.0,4.89,100.0,<=300
28078819,161582412,t,Overland,39.67561,-104.98849,Entire guest suite,Entire home/apt,4,1.0,0.0,120.0,255,30600.0,4.82,100.0,<=300
28489801,215050479,t,Lincoln Park,39.73098,-104.99525,Entire guesthouse,Entire home/apt,4,1.0,2.0,283.0,126,35658.0,4.88,49.411764705882355,<=300
28986433,83612871,f,West Colfax,39.74249,-105.02971,Entire townhouse,Entire home/apt,4,2.5,2.0,195.0,174,33930.0,4.93,68.23529411764706,<=300
29283226,72164908,t,Washington Park West,39.7004405,-104.9853382,Entire home,Entire home/apt,6,1.0,2.0,134.0,255,34170.0,4.9,100.0,<=300
29360234,221190712,t,Platt Park,39.68675,-104.98097,Entire guesthouse,Entire home/apt,3,1.0,1.0,147.0,255,37485.0,4.9,100.0,<=300
29651194,223178574,t,Gateway - Green Valley Ranch,39.79084,-104.76745,Entire home,Entire home/apt,6,2.5,4.0,142.0,255,36210.0,4.81,100.0,<=300
29651605,49223382,t,City Park West,39.74106,-104.97302,Entire condo,Entire home/apt,5,1.0,2.0,139.0,255,35445.0,4.6,100.0,<=300
29714778,223594810,t,Union Station,39.75322,-105.0043,Entire loft,Entire home/apt,2,1.0,1.0,203.0,245,49735.0,4.84,96.07843137254902,<=300
29830102,1750207,t,West Highland,39.76195,-105.03986,Entire guesthouse,Entire home/apt,6,1.0,2.0,169.0,255,43095.0,4.9,100.0,<=300
29967439,225315403,t,Speer,39.71537,-104.98183,Entire condo,Entire home/apt,4,1.0,2.0,132.0,240,31680.0,4.85,94.11764705882352,<=300
