id,host_id,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_value,occupancy_percent,price_group
683917596023358220,431213245,t,Elyria Swansea,39.78407,-104.95814,Entire guest suite,Entire home/apt,4,1.0,2.0,212.0,255,54060.0,4.84,100.0,<=300
695860953853336697,36087734,f,Five Points,39.75224,-104.98823,Entire condo,Entire home/apt,4,1.0,1.0,205.0,255,52275.0,4.56,100.0,<=300
711502172419244083,406548445,t,Union Station,39.7558,-105.00067,Entire rental unit,Entire home/apt,4,1.0,1.0,244.0,255,62220.0,4.83,100.0,<=300
730317516336427460,49261319,t,West Colfax,39.74065,-105.02963,Entire home,Entire home/apt,6,1.0,3.0,213.0,255,54315.0,4.81,100.0,<=300
738407877272807150,287270283,t,North Park Hill,39.7603,-104.92997,Entire home,Entire home/apt,6,1.0,3.0,247.0,255,62985.0,4.94,100.0,<=300
739452487293649135,2620000,t,Union Station,39.75061,-104.99624,Entire condo,Entire home/apt,5,1.0,2.0,235.0,255,59925.0,4.97,100.0,<=300
744372381650031641,7504116,t,Congress Park,39.74001,-104.94357,Entire home,Entire home/apt,6,1.5,3.0,281.0,255,71655.0,4.83,100.0,<=300
744684629395125850,484866290,t,Highland,39.76599,-105.01142,Entire townhouse,Entire home/apt,12,3.5,4.0,200.0,255,51000.0,4.77,100.0,<=300
760186874616933524,485931325,f,Cole,39.76986,-104.96631,Entire home,Entire home/apt,12,2.0,4.0,225.0,255,57375.0,4.79,100.0,<=300
761097400434841164,7656786,f,Highland,39.76903,-105.01162,Entire home,Entire home/apt,6,3.0,4.0,240.0,210,50400.0,4.94,82.35294117647058,<=300
776378258608356179,217505814,t,West Colfax,39.7433276,-105.0309595,Entire townhouse,Entire home/apt,4,1.0,1.0,244.0,255,62220.0,4.84,100.0,<=300
799996340749040096,23120473,t,Five Points,39.75770073233991,-104.98487561277874,Entire rental unit,Entire home/apt,4,2.0,2.0,206.0,255,52530.0,4.93,100.0,<=300
800530751849525931,495128012,t,Union Station,39.75095,-104.9958,Entire condo,Entire home/apt,8,2.0,3.0,228.0,255,58140.0,4.65,100.0,<=300
800726495848834830,72720352,t,West Colfax,39.7433013,-105.0313015,Entire townhouse,Entire home/apt,4,2.5,2.0,208.0,255,53040.0,4.85,100.0,<=300
